PA14_RS00005	protein_coding
PA14_RS00010	protein_coding
PA14_RS00015	pseudogene
PA14_RS00020	protein_coding
PA14_RS00025	protein_coding
PA14_RS00030	protein_coding
PA14_RS00035	protein_coding
PA14_RS00040	protein_coding
PA14_RS00045	protein_coding
PA14_RS00050	protein_coding
PA14_RS00055	protein_coding
PA14_RS00060	protein_coding
PA14_RS00065	protein_coding
PA14_RS00070	protein_coding
PA14_RS00075	protein_coding
PA14_RS00080	protein_coding
PA14_RS00085	protein_coding
PA14_RS00090	protein_coding
PA14_RS00095	protein_coding
PA14_RS00100	protein_coding
PA14_RS00105	protein_coding
PA14_RS00110	protein_coding
PA14_RS00115	protein_coding
PA14_RS00120	protein_coding
PA14_RS00125	protein_coding
PA14_RS00130	protein_coding
PA14_RS00135	protein_coding
PA14_RS00140	protein_coding
PA14_RS00145	protein_coding
PA14_RS00150	protein_coding
PA14_RS00155	protein_coding
PA14_RS00160	protein_coding
PA14_RS00165	protein_coding
PA14_RS00170	protein_coding
PA14_RS00175	protein_coding
PA14_RS00180	protein_coding
PA14_RS00185	protein_coding
PA14_RS00190	protein_coding
PA14_RS00195	protein_coding
PA14_RS00200	protein_coding
PA14_RS00205	protein_coding
PA14_RS00210	protein_coding
PA14_RS31165	protein_coding
PA14_RS31320	protein_coding
PA14_RS31325	pseudogene
PA14_RS00220	protein_coding
PA14_RS00225	protein_coding
PA14_RS00230	protein_coding
PA14_RS00235	protein_coding
PA14_RS00240	protein_coding
PA14_RS00245	protein_coding
PA14_RS00250	protein_coding
PA14_RS00255	protein_coding
PA14_RS00260	protein_coding
PA14_RS31505	protein_coding
PA14_RS00265	protein_coding
PA14_RS00270	protein_coding
PA14_RS00275	protein_coding
PA14_RS00280	protein_coding
PA14_RS00285	protein_coding
PA14_RS00290	protein_coding
PA14_RS00295	protein_coding
PA14_RS00300	protein_coding
PA14_RS00305	protein_coding
PA14_RS00310	protein_coding
PA14_RS00315	protein_coding
PA14_RS00320	protein_coding
PA14_RS00325	protein_coding
PA14_RS00330	protein_coding
PA14_RS00335	protein_coding
PA14_RS00340	protein_coding
PA14_RS00345	protein_coding
PA14_RS00350	protein_coding
PA14_RS00355	protein_coding
PA14_RS00360	protein_coding
PA14_RS00365	protein_coding
PA14_RS00370	protein_coding
PA14_RS00375	protein_coding
PA14_RS00380	protein_coding
PA14_RS00385	protein_coding
PA14_RS00390	protein_coding
PA14_RS00395	protein_coding
PA14_RS00400	protein_coding
PA14_RS00405	protein_coding
PA14_RS31730	pseudogene
PA14_RS00415	protein_coding
PA14_RS00420	protein_coding
PA14_RS00425	protein_coding
PA14_RS00430	protein_coding
PA14_RS00435	protein_coding
PA14_RS00440	protein_coding
PA14_RS00445	protein_coding
PA14_RS00450	protein_coding
PA14_RS00455	protein_coding
PA14_RS00460	protein_coding
PA14_RS00465	protein_coding
PA14_RS00470	protein_coding
PA14_RS00475	protein_coding
PA14_RS00480	protein_coding
PA14_RS00485	protein_coding
PA14_RS00490	protein_coding
PA14_RS00495	protein_coding
PA14_RS00500	protein_coding
PA14_RS00505	protein_coding
PA14_RS00510	protein_coding
PA14_RS00515	protein_coding
PA14_RS00520	protein_coding
PA14_RS00525	protein_coding
PA14_RS00530	protein_coding
PA14_RS00535	protein_coding
PA14_RS00540	protein_coding
PA14_RS00545	protein_coding
PA14_RS00550	protein_coding
PA14_RS00555	protein_coding
